N,p,Buffer Size,Queue type,Avg PD,Std Dev PD,Avg link utilization
5,1.000000,2,KOUQ,1.933813,1.152919,0.736080
10,1.000000,2,KOUQ,2.063574,1.357673,0.717940
15,1.000000,2,KOUQ,2.107973,1.421085,0.711573
20,1.000000,2,KOUQ,2.127216,1.455164,0.708930
25,1.000000,2,KOUQ,2.142982,1.482147,0.706620
30,1.000000,2,KOUQ,2.130820,1.450494,0.706420
35,1.000000,2,KOUQ,2.149720,1.491475,0.704951
40,1.000000,2,KOUQ,2.135385,1.465881,0.704767
5,1.000000,3,KOUQ,2.383911,1.552927,0.794520
10,1.000000,3,KOUQ,2.514775,1.760052,0.777250
15,1.000000,3,KOUQ,2.545664,1.841564,0.775267
20,1.000000,3,KOUQ,2.548125,1.839333,0.772855
25,1.000000,3,KOUQ,2.583055,1.926836,0.770224
30,1.000000,3,KOUQ,2.581000,1.891252,0.768370
35,1.000000,3,KOUQ,2.591430,1.924299,0.767774
40,1.000000,3,KOUQ,2.579055,1.883599,0.767883
5,1.000000,4,KOUQ,2.739942,1.787132,0.830200
10,1.000000,4,KOUQ,2.925771,2.186709,0.815370
15,1.000000,4,KOUQ,2.942102,2.188386,0.809480
20,1.000000,4,KOUQ,2.956483,2.249268,0.810390
25,1.000000,4,KOUQ,2.995433,2.314101,0.807384
30,1.000000,4,KOUQ,2.982968,2.261457,0.806507
35,1.000000,4,KOUQ,2.994842,2.328903,0.806566
40,1.000000,4,KOUQ,2.994924,2.309318,0.804867
