N,p,Buffer Size,Queue type,Avg PD,Std Dev PD,Avg link utilization
5,0.500000,2,KOUQ,1.339549,0.601418,0.472060
10,0.500000,2,KOUQ,1.365602,0.645679,0.465190
15,0.500000,2,KOUQ,1.382205,0.668253,0.463440
20,0.500000,2,KOUQ,1.397548,0.686479,0.461365
25,0.500000,2,KOUQ,1.399242,0.697003,0.460488
30,0.500000,2,KOUQ,1.399868,0.703223,0.459487
35,0.500000,2,KOUQ,1.404469,0.705496,0.459351
40,0.500000,2,KOUQ,1.411173,0.718873,0.459620
5,0.500000,3,KOUQ,1.387203,0.650891,0.492200
10,0.500000,3,KOUQ,1.436644,0.729989,0.489210
15,0.500000,3,KOUQ,1.447276,0.749184,0.488720
20,0.500000,3,KOUQ,1.458443,0.754665,0.491175
25,0.500000,3,KOUQ,1.449870,0.752457,0.487960
30,0.500000,3,KOUQ,1.451379,0.754917,0.486460
35,0.500000,3,KOUQ,1.460512,0.771870,0.487963
40,0.500000,3,KOUQ,1.456355,0.765719,0.486750
5,0.500000,4,KOUQ,1.391157,0.673154,0.497960
10,0.500000,4,KOUQ,1.452315,0.760593,0.496130
15,0.500000,4,KOUQ,1.458876,0.757635,0.497387
20,0.500000,4,KOUQ,1.465280,0.776173,0.497075
25,0.500000,4,KOUQ,1.479939,0.799835,0.497604
30,0.500000,4,KOUQ,1.475068,0.786261,0.496423
35,0.500000,4,KOUQ,1.472245,0.782564,0.496017
40,0.500000,4,KOUQ,1.472088,0.782063,0.494355
